"PartyId","AddressType","AddressLine","StreetName","BuildingNumber","PostCode","TownName","CountrySubDivision","CountryId",
"29","Port","64196 Zita Glens Suite 940","Kade Stream","61181","03656-0093","New Lorna","64132716","3",
"70","Sout","56753 Auer Overpass Apt. 212","Elliott Passage","753","01386-7654","North Anita","83","3",
"86","Lake","6849 Swift Mission","Rogahn Brook","83215","88740-4831","Heathcotestad","","1",
"99","Nort","89643 Neil Gateway","Aaron Roads","0346","61022-2271","Ondrickaborough","5","1",
"146","New","48996 Kuhlman Ways","Branson Inlet","553","20837","Klingmouth","16759615","1",
"172","New","7219 Maurice Squares","Brice Manors","87150","48576-4565","New Kayden","62","3",
"177","Port","909 Raymond Loaf","Bartell Common","69842","09525","Lake Justen","806884","1",
"211","East","58584 McCullough Port","Reynold Avenue","02340","81438","Oswaldmouth","12574737","2",
"230","East","07364 Hilpert Mall Suite 796","Botsford Landing","6196","40265-7412","Khalilton","8986481","3",
"240","Lake","9492 Nikolas Pines Apt. 143","Beier Mountain","5940","81256","East Angeloside","85","3",
"368","East","5978 Tyree Trace","Breitenberg Overpass","94275","71781-6101","Aliciamouth","55","1",
"406","East","7058 Lempi Rapid","Abbott Haven","106","82988","West Cyrus","6","1",
"479","New","760 Adrienne Cove Suite 320","Grimes Vista","87407","03839-3429","South Leilastad","468","2",
"517","Port","918 Lila Grove Apt. 476","Lesch Grove","111","43575","Harrisonside","201099","1",
"520","East","38826 Keegan Cliff","Kunze Ridge","720","36641","West Lauriane","16648","2",
"536","East","92182 O'Reilly Pine","Wiza Corner","53430","51415-2625","Bernierfort","6451","2",
"594","New","0461 Treutel Place Apt. 327","Randal Rue","90303","30425-1991","Emeliabury","22848558","3",
"622","Port","4581 Bins Estates Apt. 402","Alayna Cape","3765","10567","Gradyhaven","930455","3",
"629","West","817 Ewald Fields Suite 811","Clemens Run","817","20224-3355","Lake Sarailand","719","2",
"645","Sout","5934 Amos Island","West Center","39741","42374-3269","Arielfort","","2",
"650","Port","044 Crist Station Apt. 493","Langosh Squares","314","15413-0862","Carterburgh","2744","3",
