"PartyId","PartyNumber","PartyType","Name","FullLegalName","LegalStructure","BeneficialOwnership","AccountRole","EmailAddress","Phone",
"1","660","'sol","Alfreda","Donnell Pagac","Mr.","8","'US.OBIE.Principal'","breitenberg.libbie@example.net","706.832.3771",
"2","549185","'pri","Odie","Terry McDermott","Prof.","1","'UK.OBIE.Principal'","zita.ankunding@example.com","898.275.6844",
"3","999585350","'sol","Lourdes","Malachi Batz","Mr.","8","'UK.OBIE.Secundary'","ramon69@example.org","1-500-532-25",
"4","","'pri","Celestine","Marilyne Sauer","Mrs.","7","'DE.OBIE.Principal'","jane29@example.org","1-085-064-83",
"5","523924","'sol","Florian","Mya Lowe","Prof.","2","'UK.OBIE.Secundary'","ktillman@example.com","313.539.3779",
"6","10337","'pri","Colt","Eleanora Purdy","Mr.","9","'DE.OBIE.Principal'","velva77@example.net","1-087-124-70",
"7","5026979","'sol","Justine","Cleveland Muller","Mr.","2","'DE.OBIE.Principal'","maegan95@example.org","694.692.2063",
"8","19948101","'sol","Rene","Leilani Kling","Mr.","7","'DE.OBIE.Principal'","egutmann@example.com","980-389-8355",
"9","9816218","'sol","Deangelo","Dr. Delpha Mitchell PhD","Mr.","2","'UK.OBIE.Secundary'","pacocha.jess@example.net","745-265-1185",
"10","26950230","'sol","Javier","Dena Orn","Dr.","6","'US.OBIE.Principal'","alejandrin.bayer@example.org","07370611146",
"11","749874","'pri","Scot","Prof. April Nolan","Prof.","3","'UK.OBIE.Principal'","skyla.hermiston@example.net","(108)385-027",
"12","400963810","'pri","Christa","Hulda Schimmel","Dr.","5","'UK.OBIE.Secundary'","wbecker@example.net","(423)476-370",
"13","957922","'sol","Ebony","Margaretta Barton","Mr.","8","'US.OBIE.Principal'","heaney.estel@example.net","114-271-1828",
"14","5465843","'sol","Charles","Katarina Labadie","Dr.","7","'US.OBIE.Principal'","clotilde.collins@example.com","(658)671-041",
"15","932","'pri","Freddie","Mitchel Altenwerth","Mrs.","4","'US.OBIE.Principal'","christelle.skiles@example.org","627-072-3258",
"16","9","'sol","Toni","Jadyn Robel","Dr.","2","'UK.OBIE.Principal'","virginie.purdy@example.net","1-962-444-54",
"17","","'sol","Deja","Prof. Donny Barrows IV","Dr.","3","'US.OBIE.Principal'","wmarvin@example.net","1-782-462-01",
"18","6124493","'pri","Dave","Mr. Dante Mraz DVM","Dr.","6","'UK.OBIE.Principal'","bette59@example.net","607-483-5277",
"19","321387011","'sol","Cristian","Madge Beahan","Mr.","6","'DE.OBIE.Principal'","batz.jerrod@example.com","712.573.5298",
